datetime,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,mavg,ret_dev
1999-11-01,68.06,71.88,66.31,69.13,3.4565,12824100.0,0.0,1.0,None,None
1999-11-02,69.75,70.0,65.06,66.44,3.322,13243200.0,0.0,1.0,None,-0.0389121944163171
1999-11-03,68.19,68.5,65.0,65.81,3.2905,10772100.0,0.0,1.0,None,-0.009482239614689858
1999-11-04,67.19,67.19,61.0,63.06,3.153,16759200.0,0.0,1.0,None,-0.041786962467710076
1999-11-05,64.75,65.5,62.25,64.94,3.247,11091400.0,0.0,1.0,None,0.02981287662543597
1999-11-08,64.81,80.0,63.5,78.0,3.9,32339400.0,0.0,1.0,None,0.20110871573760392
1999-11-09,80.88,83.06,70.0,70.81,3.5405,26477100.0,0.0,1.0,None,-0.0921794871794871
1999-11-10,71.56,75.0,70.13,72.0,3.6,11506700.0,0.0,1.0,None,0.016805535941251115
1999-11-11,74.75,75.0,71.38,73.0,3.65,9293900.0,0.0,1.0,None,0.01388888888888884
1999-11-12,73.75,75.0,70.81,74.94,3.747,10319600.0,0.0,1.0,None,0.026575342465753327
1999-11-15,75.63,76.0,73.31,73.5,3.675,6437200.0,0.0,1.0,None,-0.019215372297838318
1999-11-16,74.25,79.63,73.75,78.94,3.947,15238700.0,0.0,1.0,None,0.07401360544217694
1999-11-17,77.94,80.0,75.44,76.5,3.825,6657400.0,0.0,1.0,None,-0.030909551558145343
1999-11-18,76.75,78.19,75.25,77.94,3.897,5810400.0,0.0,1.0,None,0.018823529411764683
1999-11-19,77.88,78.13,76.06,77.94,3.897,5760600.0,0.0,1.0,None,0.0
1999-11-22,77.88,82.5,76.0,80.5,4.025,10708400.0,0.0,1.0,None,0.03284577880420847
1999-11-23,80.38,85.63,76.25,81.75,4.0875,18332500.0,0.0,1.0,None,0.01552795031055898
1999-11-24,84.25,87.75,83.25,87.25,4.3625,14483100.0,0.0,1.0,None,0.06727828746177367
1999-11-26,91.06,95.13,90.5,93.13,4.6565,11496000.0,0.0,1.0,None,0.06739255014326662
1999-11-29,95.5,96.88,90.13,90.44,4.522,18053700.0,0.0,1.0,None,-0.028884355202405287
1999-11-30,88.27,88.88,83.81,85.06,4.253,13465500.0,0.0,1.0,None,-0.05948695267580717
1999-12-01,87.25,87.63,81.97,85.0,4.25,10663600.0,0.0,1.0,None,-0.0007053844345168425
1999-12-02,86.0,91.31,85.63,89.06,4.453,9538700.0,0.0,1.0,None,0.04776470588235293
1999-12-03,92.5,93.38,86.06,86.56,4.328,11151200.0,0.0,1.0,None,-0.028070963395463777
1999-12-06,86.88,89.88,84.69,87.38,4.369,9199200.0,0.0,1.0,None,0.009473197781885379
1999-12-07,88.0,88.0,84.38,86.06,4.303,6727100.0,0.0,1.0,None,-0.015106431677729404
1999-12-08,86.81,93.0,86.75,88.0,4.4,12867200.0,0.0,1.0,None,0.022542412270509127
1999-12-09,95.25,113.0,93.44,103.6,5.18,41364600.0,0.0,1.0,None,0.17727272727272703
1999-12-10,111.4,112.0,104.4,106.7,5.335,14929000.0,0.0,1.0,None,0.02992277992277992
1999-12-13,106.6,106.6,101.5,102.5,5.125,8653700.0,0.0,1.0,None,-0.03936269915651358
1999-12-14,103.8,104.0,95.0,95.63,4.7815,10107900.0,0.0,1.0,None,-0.06702439024390239
1999-12-15,92.88,99.44,91.0,96.5,4.825,10133500.0,0.0,1.0,None,0.009097563526090147
1999-12-16,98.25,98.75,93.5,94.88,4.744,7004400.0,0.0,1.0,None,-0.016787564766839513
1999-12-17,97.19,97.63,93.81,94.06,4.703,5955900.0,0.0,1.0,None,-0.00864249578414833
1999-12-20,97.75,101.6,95.06,97.0,4.85,10566600.0,0.0,1.0,None,0.031256644694875435
1999-12-21,96.56,100.4,96.56,99.88,4.994,9509500.0,0.0,1.0,None,0.029690721649484608
1999-12-22,100.6,100.6,95.5,97.69,4.8845,5921000.0,0.0,1.0,None,-0.02192631157388858
1999-12-23,98.0,99.0,89.06,90.0,4.5,12914600.0,0.0,1.0,None,-0.07871839492271471
1999-12-27,87.75,88.25,80.13,81.13,4.0565,16523800.0,0.0,1.0,None,-0.09855555555555562
1999-12-28,83.06,86.5,81.56,82.31,4.1155,10304300.0,0.0,1.0,None,0.014544558116603046
1999-12-29,83.44,85.38,82.63,83.5,4.175,5913000.0,0.0,1.0,None,0.014457538573684925
1999-12-30,84.63,85.13,78.5,79.06,3.953,9256600.0,0.0,1.0,None,-0.05317365269461083
1999-12-31,79.31,79.38,76.0,76.13,3.8065,7270700.0,0.0,1.0,None,-0.037060460409815255
2000-01-03,81.5,89.56,80.0,89.38,4.469,16117600.0,0.0,1.0,None,0.17404439774070668
2000-01-04,85.38,91.5,81.75,81.94,4.097,17487400.0,0.0,1.0,None,-0.08324009845603042
2000-01-05,70.75,75.13,69.63,71.75,3.5875,38457400.0,0.0,1.0,None,-0.1243592872833782
2000-01-06,71.31,72.69,64.0,65.56,3.278,18752000.0,0.0,1.0,None,-0.08627177700348432
2000-01-07,67.0,70.5,66.19,69.56,3.478,10505400.0,0.0,1.0,None,0.06101281269066505
2000-01-10,72.56,72.63,65.56,69.19,3.4595,14757900.0,0.0,1.0,None,-0.005319148936170359
2000-01-11,66.88,70.0,65.0,66.75,3.3375,10532700.0,0.0,1.0,None,-0.035265211735799995
2000-01-12,67.88,68.0,63.0,63.56,3.178,10804500.0,0.0,1.0,None,-0.04779026217228466
2000-01-13,64.94,67.19,63.13,65.94,3.297,10448100.0,0.0,1.0,None,0.037444933920704804
2000-01-14,66.75,68.5,64.0,64.25,3.2125,6853600.0,0.0,1.0,None,-0.025629360024264525
2000-01-18,63.44,65.19,63.0,64.13,3.2065,5384900.0,0.0,1.0,None,-0.001867704280155591
2000-01-19,64.13,67.5,63.0,66.81,3.3405,8245500.0,0.0,1.0,None,0.04179011383128017
2000-01-20,66.94,67.0,63.94,64.75,3.2375,5978000.0,0.0,1.0,None,-0.030833707528813092
2000-01-21,64.63,64.63,60.0,62.06,3.103,11461900.0,0.0,1.0,None,-0.04154440154440142
2000-01-24,67.56,73.38,67.5,70.13,3.5065,29170200.0,0.0,1.0,None,0.13003544956493718
2000-01-25,70.0,71.25,66.0,69.25,3.4625,9434100.0,0.0,1.0,None,-0.012548124910879754
2000-01-26,68.63,70.0,64.75,64.81,3.2405,6558000.0,0.0,1.0,None,-0.06411552346570393
2000-01-27,65.19,67.75,64.63,66.94,3.347,6784000.0,0.0,1.0,None,0.03286529856503617
2000-01-28,65.0,66.44,60.0,61.69,3.0845,13777900.0,0.0,1.0,None,-0.07842844338213328
2000-01-31,60.38,64.75,58.44,64.56,3.228,10697900.0,0.0,1.0,None,0.0465229372669802
2000-02-01,67.5,70.63,64.38,67.44,3.372,13404600.0,0.0,1.0,None,0.044609665427509215
2000-02-02,67.94,72.25,67.75,69.44,3.472,14025900.0,0.0,1.0,None,0.029655990510083052
2000-02-03,81.13,85.94,77.38,84.19,4.2095,43750000.0,0.0,1.0,None,0.21241359447004626
2000-02-04,82.75,82.75,78.0,78.56,3.928,11023000.0,0.0,1.0,None,-0.06687255018410743
2000-02-07,76.19,76.88,73.13,75.0,3.75,10129000.0,0.0,1.0,None,-0.04531568228105909
2000-02-08,74.0,84.0,73.44,83.13,4.1565,19472800.0,0.0,1.0,None,0.10840000000000005
2000-02-09,80.55,83.73,80.02,80.25,4.0125,9580400.0,0.0,1.0,None,-0.0346445326596897
2000-02-10,78.5,79.88,75.5,76.19,3.8095,9979600.0,0.0,1.0,None,-0.050591900311526605
2000-02-11,77.13,79.13,75.5,76.19,3.8095,8309000.0,0.0,1.0,None,0.0
2000-02-14,75.69,75.75,73.56,74.44,3.722,5169700.0,0.0,1.0,None,-0.022968893555584735
2000-02-15,73.44,76.19,70.63,73.81,3.6905,6424500.0,0.0,1.0,None,-0.008463191832348116
2000-02-16,72.75,73.44,70.63,70.69,3.5345,4260200.0,0.0,1.0,None,-0.04227069502777403
2000-02-17,71.25,71.31,68.0,69.0,3.45,6129600.0,0.0,1.0,None,-0.023907200452680688
2000-02-18,68.44,69.0,63.88,64.75,3.2375,8726400.0,0.0,1.0,None,-0.061594202898550776
2000-02-22,64.94,66.5,63.06,63.56,3.178,5685800.0,0.0,1.0,None,-0.0183783783783783
2000-02-23,64.88,71.75,64.69,70.44,3.522,8441200.0,0.0,1.0,None,0.10824417872876024
2000-02-24,70.56,71.38,65.63,68.44,3.422,5869300.0,0.0,1.0,None,-0.028392958546280433
2000-02-25,67.44,69.38,65.19,69.13,3.4565,4870500.0,0.0,1.0,None,0.010081823495032172
2000-02-28,66.56,67.19,64.13,65.75,3.2875,5057700.0,0.0,1.0,None,-0.04889338926659914
2000-02-29,66.0,68.97,65.88,68.88,3.444,7148500.0,0.0,1.0,None,0.047604562737642464
2000-03-01,67.63,68.5,65.0,65.88,3.294,5576700.0,0.0,1.0,None,-0.04355400696864109
2000-03-02,64.94,65.0,62.19,62.56,3.128,7980100.0,0.0,1.0,None,-0.050394656952033934
2000-03-03,63.25,64.75,62.06,62.5,3.125,6059500.0,0.0,1.0,None,-0.0009590792838874984
2000-03-06,62.88,67.25,62.81,63.94,3.197,7665800.0,0.0,1.0,None,0.02303999999999995
2000-03-07,64.88,65.81,62.13,63.5,3.175,4178800.0,0.0,1.0,None,-0.006881451360650659
2000-03-08,63.25,64.75,60.56,63.63,3.1815,5940700.0,0.0,1.0,None,0.0020472440944883097
2000-03-09,63.0,69.0,62.19,68.81,3.4405,8312500.0,0.0,1.0,None,0.08140814081408143
2000-03-10,67.25,68.53,65.0,66.88,3.344,3713500.0,0.0,1.0,None,-0.028048248801046394
2000-03-13,64.0,66.63,63.0,65.31,3.2655,5634300.0,0.0,1.0,None,-0.02347488038277512
2000-03-14,66.06,66.94,63.38,65.63,3.2815,4805300.0,0.0,1.0,None,0.004899709079773329
2000-03-15,64.75,65.13,62.0,63.75,3.1875,6082700.0,0.0,1.0,None,-0.028645436538168534
