datetime,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,mavg,ret_dev
1999-11-01,93.25,94.19,92.12,92.37,28.8112156420539,26630600.0,0.0,1.0,,
1999-11-02,92.75,94.5,91.94,92.56,28.8704787250028,23174500.0,0.0,1.0,,0.0020569448955287672
1999-11-03,92.94,93.5,91.5,92.0,28.695808585785,22258500.0,0.0,1.0,,-0.006050129645634561
1999-11-04,92.31,92.75,90.31,91.75,28.6178308450628,27119700.0,0.0,1.0,,-0.0027173913043462283
1999-11-05,91.81,92.87,90.5,91.56,28.5585677621138,35083700.0,0.0,1.0,,-0.0020708446866519736
1999-11-08,84.81,90.75,84.37,89.94,28.0532720022337,121909600.0,0.0,1.0,,-0.017693315858452463
1999-11-09,89.75,89.87,86.44,88.87,27.7195272719425,54884900.0,0.0,1.0,,-0.01189682010229065
1999-11-10,88.12,89.12,86.44,87.12,27.1736830868868,34692700.0,0.0,1.0,,-0.019691684482952887
1999-11-11,88.25,90.44,88.25,89.62,27.9534604941093,34637300.0,0.0,1.0,,0.028696051423327207
1999-11-12,89.75,90.0,87.06,89.19,27.819338780067,24707100.0,0.0,1.0,,-0.004798036152646068
1999-11-15,88.25,88.5,86.94,87.0,27.1362537713402,23540200.0,0.0,1.0,,-0.02455432223343279
1999-11-16,86.94,87.75,85.87,87.31,27.2329461698357,29582600.0,0.0,1.0,,0.003563218390801648
1999-11-17,86.44,87.06,85.0,85.0,26.5124318455622,33409500.0,0.0,1.0,,-0.02645745046386383
1999-11-18,84.94,85.81,84.5,84.94,26.4937171877889,32246600.0,0.0,1.0,,-0.0007058823529397795
1999-11-19,84.44,86.56,84.37,86.0,26.8243428084512,29113000.0,0.0,1.0,,0.01247939722156799
1999-11-22,89.62,90.37,88.44,89.81,28.0127235770582,45298300.0,0.0,1.0,,0.04430232558139657
1999-11-23,89.25,91.37,88.37,89.62,27.9534604941093,35393700.0,0.0,1.0,,-0.0021155773299185165
1999-11-24,89.56,92.25,89.5,91.69,28.5991161872894,26885500.0,0.0,1.0,,0.02309752287435618
1999-11-26,91.62,93.37,91.0,91.12,28.4213269384427,14257100.0,0.0,1.0,,-0.006216599411058565
1999-11-29,90.12,92.06,89.5,90.19,28.131249742956,25730100.0,0.0,1.0,,-0.0102063213345025
1999-11-30,89.75,92.87,89.56,91.05,28.3994931710405,32072800.0,0.0,1.0,,0.009535425213437865
1999-12-01,91.06,93.94,90.87,93.19,29.0669826316229,24432100.0,0.0,1.0,,0.023503569467326013
1999-12-02,93.06,95.25,92.87,94.81,29.572278391503,27736900.0,0.0,1.0,,0.017383839467753237
1999-12-03,95.81,97.12,95.73,96.12,29.9808817528875,32050300.0,0.0,1.0,,0.013817107900008896
1999-12-06,95.25,97.19,94.75,95.44,29.768782298123,24549100.0,0.0,1.0,,-0.0070744902205576166
1999-12-07,94.75,94.87,92.87,93.0,29.007719548674,28429600.0,0.0,1.0,,-0.025565800502931113
1999-12-08,93.12,94.31,91.69,91.75,28.6178308450628,20477900.0,0.0,1.0,,-0.013440860215053418
1999-12-09,92.0,93.31,91.44,92.75,28.9297418079517,23129100.0,0.0,1.0,,0.010899182561305398
1999-12-10,93.37,94.12,92.25,93.87,29.2790820863874,18418000.0,0.0,1.0,,0.012075471698115292
1999-12-13,93.61,96.94,92.75,96.62,30.136837234332,26345800.0,0.0,1.0,,0.029295834664960108
1999-12-14,96.19,101.12,95.31,98.69,30.7824929275122,72058100.0,0.0,1.0,,0.021424135789692933
1999-12-15,98.56,108.75,98.5,108.44,33.8236248156796,77785800.0,0.0,1.0,,0.09879420407336004
1999-12-16,109.25,115.0,108.94,113.69,35.4611573708467,64330100.0,0.0,1.0,,0.04841386942087844
1999-12-17,116.62,117.12,113.62,115.25,35.9477384729535,52949400.0,0.0,1.0,,0.013721523440936245
1999-12-20,114.81,115.0,111.19,112.75,35.1679610657311,19716900.0,0.0,1.0,,-0.02169197396963085
1999-12-21,112.37,116.62,110.62,115.87,36.1411232699446,28723000.0,0.0,1.0,,0.027671840354764887
1999-12-22,116.3,118.0,115.12,117.56,36.668252797227,19282600.0,0.0,1.0,,0.014585311124537315
