datetime,open,high,low,close,volume
2023-06-06 16:00:00,179.16,179.3,178.93,179.04,1921239.0
2023-06-06 17:00:00,179.04,179.21,179.0,179.1,40897.0
2023-06-06 18:00:00,179.1,179.1,178.89,178.9,37185.0
2023-06-06 19:00:00,178.92,179.05,178.9,179.0,30843.0
2023-06-07 04:00:00,179.07,179.07,178.69,178.75,14389.0
2023-06-07 05:00:00,178.75,178.98,178.75,178.98,7925.0
2023-06-07 06:00:00,179.0,179.2,178.2,178.81,39377.0
2023-06-07 07:00:00,178.81,179.15,178.58,179.06,126646.0
2023-06-07 08:00:00,178.87,179.1999,178.5801,178.85,263741.0
2023-06-07 09:00:00,178.93,181.21,178.15,180.425,9562547.0
2023-06-07 10:00:00,180.42,180.64,178.49,178.73,9651998.0
2023-06-07 11:00:00,178.71,179.61,178.57,178.88,6010394.0
2023-06-07 12:00:00,178.909,179.05,178.0,178.1182,5040438.0
2023-06-07 13:00:00,178.12,178.47,177.32,177.8,5923433.0
2023-06-07 14:00:00,177.795,178.285,177.6,178.245,4139100.0
2023-06-07 15:00:00,178.24,178.5,177.4239,177.83,10732027.0
2023-06-07 16:00:00,177.82,177.92,177.68,177.78,2286734.0
2023-06-07 17:00:00,177.77,177.82,177.64,177.75,240973.0
2023-06-07 18:00:00,177.75,177.87,177.69,177.73,25447.0
2023-06-07 19:00:00,177.76,177.92,177.7,177.92,28323.0
2023-06-08 04:00:00,177.69,177.77,177.21,177.77,16613.0
2023-06-08 05:00:00,177.82,178.27,177.82,178.27,15107.0
2023-06-08 06:00:00,178.01,178.36,177.83,177.91,15684.0
2023-06-08 07:00:00,177.94,178.1,177.52,177.75,74247.0
2023-06-08 08:00:00,177.99,178.5,176.58,177.96,277430.0
2023-06-08 09:00:00,177.93,178.75,177.51,177.86,6064236.0
2023-06-08 10:00:00,177.865,179.19,177.46,179.11,7379139.0
2023-06-08 11:00:00,179.12,179.88,178.971,179.5099,5277395.0
2023-06-08 12:00:00,179.505,180.0,179.31,179.615,4655078.0
2023-06-08 13:00:00,179.615,179.87,179.01,179.53,3419528.0
2023-06-08 14:00:00,179.54,180.24,179.466,179.926,5114119.0
2023-06-08 15:00:00,179.93,180.84,179.73,180.55,9425260.0
2023-06-08 16:00:00,180.58,180.745,180.5,180.56,2901493.0
2023-06-08 17:00:00,180.57,180.57,180.43,180.47,74265.0
2023-06-08 18:00:00,180.47,180.56,180.4229,180.43,56697.0
2023-06-08 19:00:00,180.45,180.52,180.32,180.5,53536.0
2023-06-09 04:00:00,180.19,180.42,180.0,180.4,44313.0
2023-06-09 05:00:00,180.39,180.5,180.24,180.24,35433.0
2023-06-09 06:00:00,180.25,180.38,180.13,180.38,27610.0
2023-06-09 07:00:00,180.39,180.7,180.07,180.55,69976.0
2023-06-09 08:00:00,180.45,180.85,180.05,180.77,254338.0
2023-06-09 09:00:00,180.77,182.19,180.66,181.58,6972375.0
2023-06-09 10:00:00,181.59,182.11,180.98,181.4,7663692.0
2023-06-09 11:00:00,181.3988,182.07,180.86,180.92,6167714.0
2023-06-09 12:00:00,180.9,181.58,180.63,181.39,4459310.0
2023-06-09 13:00:00,181.4099,182.03,181.28,182.025,3345563.0
2023-06-09 14:00:00,182.03,182.23,181.755,182.035,3830551.0
2023-06-09 15:00:00,182.0397,182.09,180.73,181.05,8253246.0
2023-06-09 16:00:00,180.96,181.1,180.8,180.8488,1614317.0
2023-06-09 17:00:00,180.87,180.88,180.75,180.78,30073.0
2023-06-09 18:00:00,180.7536,180.85,180.72,180.84,15225.0
2023-06-09 19:00:00,180.78,180.86,180.72,180.81,10300.0
2023-06-12 04:00:00,180.04,181.72,180.04,181.66,34347.0
2023-06-12 05:00:00,181.68,181.75,181.51,181.51,12853.0
2023-06-12 06:00:00,181.6,181.61,181.32,181.6,13696.0
2023-06-12 07:00:00,181.55,181.85,181.54,181.71,80514.0
2023-06-12 08:00:00,181.57,181.99,181.4,181.94,178213.0
2023-06-12 09:00:00,181.94,182.04,181.16,181.44,5276653.0
2023-06-12 10:00:00,181.44,181.97,180.97,181.765,5966757.0
2023-06-12 11:00:00,181.7601,182.53,181.72,182.3266,5397070.0
2023-06-12 12:00:00,182.34,182.5,182.12,182.3978,3127407.0
2023-06-12 13:00:00,182.395,182.78,182.36,182.74,3722017.0
2023-06-12 14:00:00,182.75,183.12,182.621,183.11,3676339.0
2023-06-12 15:00:00,183.11,183.89,183.01,183.84,10555651.0
2023-06-12 16:00:00,183.77,183.99,183.74,183.97,6501900.0
2023-06-12 17:00:00,183.96,184.06,183.79,184.06,98721.0
2023-06-12 18:00:00,184.01,184.28,183.98,184.28,42690.0
2023-06-12 19:00:00,184.29,184.35,181.5,182.5099,442080.0
